Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],-1,0.0045888423919677734,4,"[<Op (move p0 c21 c22)>, <Op (move p0 c22 c32)>, <Op (move p0 c32 c33)>, <Op (move p0 c33 c34)>]"
Goal to Real Goal Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],2.002716064453125e-05,0.009618043899536133,8,"[<Op (move p0 c21 c11)>, <Op (move p0 c11 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>, <Op (move p0 c03 c04)>, <Op (move p0 c04 c14)>, <Op (move p0 c14 c24)>, <Op (move p0 c24 c34)>]"
Shared Landmark Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],2.5272369384765625e-05,0.010829687118530273,4,"[<Op (move p0 c21 c22)>, <Op (move p0 c22 c32)>, <Op (move p0 c32 c33)>, <Op (move p0 c33 c34)>]"
Combined Landmarks Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.0027348995208740234,0.009392261505126953,10,"[<Op (move p0 c21 c11)>, <Op (move p0 c11 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>, <Op (move p0 c03 c04)>, <Op (move p0 c04 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>, <Op (move p0 c23 c33)>, <Op (move p0 c33 c34)>]"
Most Common Landmarks,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.00164794921875,0.008186101913452148,4,"[<Op (move p0 c21 c22)>, <Op (move p0 c22 c32)>, <Op (move p0 c32 c33)>, <Op (move p0 c33 c34)>]"
Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.0003809928894042969,0.009302854537963867,10,"[<Op (move p0 c21 c11)>, <Op (move p0 c11 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>, <Op (move p0 c03 c04)>, <Op (move p0 c04 c14)>, <Op (move p0 c14 c24)>, <Op (move p0 c24 c34)>]"
Closest Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.00039505958557128906,0.008854150772094727,4,"[<Op (move p0 c21 c22)>, <Op (move p0 c22 c32)>, <Op (move p0 c32 c33)>, <Op (move p0 c33 c34)>]"
Farthest Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.0002722740173339844,0.009006977081298828,6,"[<Op (move p0 c21 c11)>, <Op (move p0 c11 c12)>, <Op (move p0 c12 c13)>, <Op (move p0 c13 c14)>, <Op (move p0 c14 c24)>, <Op (move p0 c24 c34)>]"
All but Real Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.00023293495178222656,0.0087738037109375,6,"[<Op (move p0 c21 c11)>, <Op (move p0 c11 c12)>, <Op (move p0 c12 c13)>, <Op (move p0 c13 c14)>, <Op (move p0 c14 c24)>, <Op (move p0 c24 c34)>]"
R-Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.00018286705017089844,0.009084224700927734,10,"[<Op (move p0 c21 c11)>, <Op (move p0 c11 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>, <Op (move p0 c03 c04)>, <Op (move p0 c04 c14)>, <Op (move p0 c14 c24)>, <Op (move p0 c24 c34)>]"
R-Closest Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.0002739429473876953,0.010008096694946289,10,"[<Op (move p0 c21 c11)>, <Op (move p0 c11 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>, <Op (move p0 c03 c04)>, <Op (move p0 c04 c14)>, <Op (move p0 c14 c24)>, <Op (move p0 c24 c34)>]"
R-Farthest Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.00019812583923339844,0.009729862213134766,10,"[<Op (move p0 c21 c11)>, <Op (move p0 c11 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>, <Op (move p0 c03 c04)>, <Op (move p0 c04 c14)>, <Op (move p0 c14 c24)>, <Op (move p0 c24 c34)>]"
R-All but Real Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.0004248619079589844,0.008611202239990234,6,"[<Op (move p0 c21 c20)>, <Op (move p0 c20 c21)>, <Op (move p0 c21 c22)>, <Op (move p0 c22 c32)>, <Op (move p0 c32 c33)>, <Op (move p0 c33 c34)>]"
Minimum Covering State Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c21)']",['(at p0 c34)'],0.0003750324249267578,0.008778095245361328,6,"[<Op (move p0 c21 c20)>, <Op (move p0 c20 c21)>, <Op (move p0 c21 c22)>, <Op (move p0 c22 c32)>, <Op (move p0 c32 c33)>, <Op (move p0 c33 c34)>]"
