Domain Name,Potential Goal,Initial,isRealGoal,Time to Extract Landmarks,Extracted Landmarks
p02,(and (at p0 c00)),"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",False,0.12447619438171387,"['(free c00)', '(at p0 c00)']"
p02,(and (at p0 c21)),"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",False,0.11618208885192871,"['(free c21)', '(at p0 c21)']"
p02,(and (at p0 c03)),"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",True,0.1289970874786377,"['(free c03)', '(at p0 c03)']"
