Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",['(at p0 c03)'],-1,0.004619121551513672,5,"[<Op (move p0 c44 c34)>, <Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c04)>, <Op (move p0 c04 c03)>]"
Goal to Real Goal Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",['(at p0 c03)'],8.821487426757812e-06,0.008895158767700195,11,"[<Op (move p0 c44 c34)>, <Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c04)>, <Op (move p0 c04 c03)>, <Op (move p0 c03 c02)>, <Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>]"
Shared Landmark Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",['(at p0 c03)'],1.0013580322265625e-05,0.007888078689575195,5,"[<Op (move p0 c44 c34)>, <Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c04)>, <Op (move p0 c04 c03)>]"
Combined Landmarks Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",['(at p0 c03)'],0.0018036365509033203,0.008823156356811523,11,"[<Op (move p0 c44 c34)>, <Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c04)>, <Op (move p0 c04 c03)>, <Op (move p0 c03 c02)>, <Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>]"
Most Common Landmarks,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",['(at p0 c03)'],0.0007648468017578125,0.008440971374511719,5,"[<Op (move p0 c44 c34)>, <Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c04)>, <Op (move p0 c04 c03)>]"
Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",['(at p0 c03)'],0.0004737377166748047,0.008065938949584961,5,"[<Op (move p0 c44 c34)>, <Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c04)>, <Op (move p0 c04 c03)>]"
Closest Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",['(at p0 c03)'],0.00037789344787597656,0.007998228073120117,5,"[<Op (move p0 c44 c34)>, <Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c13)>, <Op (move p0 c13 c03)>]"
Farthest Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",['(at p0 c03)'],0.00045108795166015625,0.008706092834472656,5,"[<Op (move p0 c44 c34)>, <Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c04)>, <Op (move p0 c04 c03)>]"
All but Real Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",['(at p0 c03)'],0.00048804283142089844,0.009027957916259766,9,"[<Op (move p0 c44 c34)>, <Op (move p0 c34 c33)>, <Op (move p0 c33 c32)>, <Op (move p0 c32 c22)>, <Op (move p0 c22 c21)>, <Op (move p0 c21 c11)>, <Op (move p0 c11 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>]"
R-Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(at p0 c44)']",['(at p0 c03)'],0.00020694732666015625,0.008625030517578125,5,"[<Op (move p0 c44 c34)>, <Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c04)>, <Op (move p0 c04 c03)>]"
