Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",-1,0.010941028594970703,10,"[<Op (unstack t r)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
Goal to Real Goal Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",2.09808349609375e-05,0.02865290641784668,26,"[<Op (unstack t r)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (stack e r)>, <Op (pick-up t)>, <Op (stack t e)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (stack p t)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack p t)>, <Op (put-down p)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
Shared Landmark Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.011459112167358398,0.011828899383544922,14,"[<Op (unstack t r)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (pick-up t)>, <Op (stack t e)>, <Op (unstack a p)>, <Op (stack a r)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
Combined Landmarks Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.004006147384643555,0.007874011993408203,28,"[<Op (unstack t r)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (pick-up t)>, <Op (stack t e)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p t)>, <Op (pick-up a)>, <Op (put-down a)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack p t)>, <Op (put-down p)>, <Op (pick-up t)>, <Op (stack t e)>]"
Most Common Landmarks,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.023368120193481445,0.0069408416748046875,14,"[<Op (unstack t r)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (pick-up t)>, <Op (stack t e)>, <Op (unstack a p)>, <Op (stack a r)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
Centroid Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.00041985511779785156,0.010509014129638672,10,"[<Op (unstack t r)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
Closest Centroid Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.0003781318664550781,0.010428905487060547,10,"[<Op (unstack t r)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
Farthest Centroid Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.00024509429931640625,0.010685920715332031,12,"[<Op (unstack t r)>, <Op (stack t e)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
All but Real Centroid Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.00020003318786621094,0.010474920272827148,10,"[<Op (unstack t r)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
R-Centroid Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.00032711029052734375,0.01570892333984375,12,"[<Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack t r)>, <Op (put-down t)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
R-Closest Centroid Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.0002727508544921875,0.015330076217651367,12,"[<Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack t r)>, <Op (put-down t)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
R-Farthest Centroid Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.00016999244689941406,0.014764070510864258,12,"[<Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack t r)>, <Op (put-down t)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
R-All but Real Centroid Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.0002028942108154297,0.015053987503051758,12,"[<Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack t r)>, <Op (put-down t)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
Minimum Covering State Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.00029015541076660156,0.01137399673461914,12,"[<Op (unstack t r)>, <Op (stack t e)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
Closest Minimum Covering State Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.00034880638122558594,0.015180110931396484,12,"[<Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack t r)>, <Op (put-down t)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
Farthest Minimum Covering State Approach,"['(handempty)', '(ontable r)', '(clear t)', '(on t r)', '(ontable p)', '(clear e)', '(on a p)', '(on e a)']","['(clear t)', '(on t e)', '(on e a)', '(on a r)', '(ontable r)']",0.00023889541625976562,0.023272275924682617,20,"[<Op (unstack t r)>, <Op (put-down t)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (stack p a)>, <Op (pick-up r)>, <Op (stack r p)>, <Op (unstack r p)>, <Op (put-down r)>, <Op (unstack p a)>, <Op (put-down p)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up t)>, <Op (stack t e)>]"
