0.046	7.0;1.0;0.0;1.0;1.0
0.041	7.0;1.0;0.0;1.0;1.0
0.041	7.0;1.0;0.0;1.0;1.0
0.047	7.0;1.0;0.0;1.0;1.0
0.056	7.0;1.0;0.0;1.0;1.0
0.035	7.0;1.0;0.0;1.0;1.0
0.051	7.0;1.0;0.0;1.0;1.0
0.061	7.0;1.0;0.0;1.0;1.0
0.036	7.0;1.0;0.0;1.0;1.0
0.035	7.0;1.0;0.0;1.0;1.0
0.048	7.0;1.0;0.0;1.0;1.0
0.046	7.0;1.0;0.0;1.0;1.0
0.048	7.0;1.0;0.0;1.0;1.0
0.042	7.0;1.0;0.0;1.0;1.0
0.058	7.0;1.0;0.0;1.0;1.0
0.044	7.0;1.0;0.0;1.0;1.0
0.047	7.0;1.0;0.0;1.0;1.0
0.04	7.0;1.0;0.0;1.0;1.0
0.034	7.0;1.0;0.0;1.0;1.0
0.042	7.0;1.0;0.0;1.0;1.0
0.04	7.0;1.0;0.0;1.0;1.0
0.048	7.0;1.0;0.0;1.0;1.0
0.042	7.0;1.0;0.0;1.0;1.0
0.047	7.0;1.0;0.0;1.0;1.0
0.044	7.0;1.0;0.0;1.0;1.0
0.036	7.0;1.0;0.0;1.0;1.0
0.046	7.0;1.0;0.0;1.0;1.0
0.042	7.0;1.0;0.0;1.0;1.0
0.036	7.0;1.0;0.0;1.0;1.0
0.051	7.0;1.0;0.0;1.0;1.0
