0.343	7.0;1.0;0.0;1.0;1.0
0.125	7.0;1.0;0.0;1.0;1.0
0.107	7.0;1.0;0.0;1.0;1.0
0.102	7.0;1.0;0.0;1.0;1.0
0.123	7.0;1.0;0.0;1.0;1.0
0.093	7.0;1.0;0.0;1.0;1.0
0.08	7.0;1.0;0.0;1.0;1.0
0.102	7.0;1.0;0.0;1.0;1.0
0.198	7.0;1.0;0.0;1.0;1.0
0.086	7.0;1.0;0.0;1.0;1.0
0.099	7.0;1.0;0.0;1.0;1.0
0.085	7.0;1.0;0.0;1.0;1.0
0.097	7.0;1.0;0.0;1.0;1.0
0.086	7.0;1.0;0.0;1.0;1.0
0.159	7.0;1.0;0.0;1.0;1.0
0.091	7.0;1.0;0.0;1.0;1.0
0.103	7.0;1.0;0.0;1.0;1.0
0.072	7.0;1.0;0.0;1.0;1.0
0.08	7.0;1.0;0.0;1.0;1.0
0.09	7.0;1.0;0.0;1.0;1.0
0.064	7.0;1.0;0.0;1.0;1.0
0.076	7.0;1.0;0.0;1.0;1.0
0.109	7.0;1.0;0.0;1.0;1.0
0.064	7.0;1.0;0.0;1.0;1.0
0.07	7.0;1.0;0.0;1.0;1.0
0.067	7.0;1.0;0.0;1.0;1.0
0.073	7.0;1.0;0.0;1.0;1.0
0.083	7.0;1.0;0.0;1.0;1.0
0.068	7.0;1.0;0.0;1.0;1.0
0.085	7.0;1.0;0.0;1.0;1.0
