0.096	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.102	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.116	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.106	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.106	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.09	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.121	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.086	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.078	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.103	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.119	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.122	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.104	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.126	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.1	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.093	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.125	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.12	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.114	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.09	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.084	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.127	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.152	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.143	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.085	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.087	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.111	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.156	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.117	8.0;0.8333333;0.083333336;0.8333333;0.8333333
0.083	8.0;0.8333333;0.083333336;0.8333333;0.8333333
