0.058	8.0;1.0;0.0;1.0;1.0
0.066	8.0;1.0;0.0;1.0;1.0
0.071	8.0;0.8;0.1;0.8;0.8
0.071	8.0;0.8;0.1;0.8;0.8
0.072	8.0;1.0;0.0;1.0;1.0
0.073	8.0;1.0;0.0;1.0;1.0
0.073	8.0;1.0;0.0;1.0;1.0
0.071	8.0;1.0;0.0;1.0;1.0
0.062	8.0;0.8;0.1;0.8;0.8
0.065	8.0;1.0;0.0;1.0;1.0
0.06	8.0;1.0;0.0;1.0;1.0
0.052	8.0;0.8;0.1;0.8;0.8
0.085	8.0;0.8;0.1;0.8;0.8
0.076	8.0;1.0;0.0;1.0;1.0
0.06	8.0;1.0;0.0;1.0;1.0
0.074	8.0;1.0;0.0;1.0;1.0
0.046	8.0;0.8;0.1;0.8;0.8
0.057	8.0;1.0;0.0;1.0;1.0
0.062	8.0;1.0;0.0;1.0;1.0
0.06	8.0;1.0;0.0;1.0;1.0
0.054	8.0;0.8;0.1;0.8;0.8
0.071	8.0;1.0;0.0;1.0;1.0
0.066	8.0;1.0;0.0;1.0;1.0
0.054	8.0;1.0;0.0;1.0;1.0
0.048	8.0;1.0;0.0;1.0;1.0
0.045	8.0;1.0;0.0;1.0;1.0
0.054	8.0;1.0;0.1;1.0;1.0
0.05	8.0;1.0;0.0;1.0;1.0
0.053	8.0;1.0;0.0;1.0;1.0
0.059	8.0;1.0;0.0;1.0;1.0
