0.062	8.0;1.0;0.0;1.0;1.0
0.069	8.0;1.0;0.0;1.0;1.0
0.056	8.0;1.0;0.0;1.0;1.0
0.079	8.0;1.0;0.0;1.0;1.0
0.078	8.0;1.0;0.0;1.0;1.0
0.053	8.0;1.0;0.0;1.0;1.0
0.056	8.0;1.0;0.0;1.0;1.0
0.059	8.0;1.0;0.0;1.0;1.0
0.063	8.0;1.0;0.0;1.0;1.0
0.048	8.0;1.0;0.0;1.0;1.0
0.083	8.0;1.0;0.0;1.0;1.0
0.068	8.0;1.0;0.0;1.0;1.0
0.062	8.0;1.0;0.0;1.0;1.0
0.053	8.0;1.0;0.0;1.0;1.0
0.047	8.0;1.0;0.0;1.0;1.0
0.102	8.0;1.0;0.0;1.0;1.0
0.081	8.0;1.0;0.0;1.0;1.0
0.069	8.0;1.0;0.0;1.0;1.0
0.078	8.0;1.0;0.0;1.0;1.0
0.077	8.0;1.0;0.0;1.0;1.0
0.066	8.0;1.0;0.0;1.0;1.0
0.067	8.0;1.0;0.0;1.0;1.0
0.053	8.0;1.0;0.0;1.0;1.0
0.057	8.0;1.0;0.0;1.0;1.0
0.063	8.0;1.0;0.0;1.0;1.0
0.069	8.0;1.0;0.0;1.0;1.0
0.053	8.0;1.0;0.0;1.0;1.0
0.05	8.0;1.0;0.0;1.0;1.0
0.048	8.0;1.0;0.0;1.0;1.0
0.055	8.0;1.0;0.0;1.0;1.0
