0.198	0.0;1.0;0.0;1.0;1.0
0.102	0.0;1.0;0.0;1.0;1.0
0.052	0.0;1.0;0.0;1.0;1.0
0.041	0.0;1.0;0.0;1.0;1.0
0.036	0.0;1.0;0.0;1.0;1.0
0.029	0.0;1.0;0.0;1.0;1.0
0.033	0.0;1.0;0.0;1.0;1.0
0.029	0.0;1.0;0.0;1.0;1.0
0.072	0.0;1.0;0.0;1.0;1.0
0.047	0.0;1.0;0.0;1.0;1.0
0.052	0.0;1.0;0.0;1.0;1.0
0.033	0.0;1.0;0.0;1.0;1.0
0.025	0.0;1.0;0.0;1.0;1.0
0.029	0.0;1.0;0.0;1.0;1.0
0.027	0.0;1.0;0.0;1.0;1.0
0.046	0.0;1.0;0.0;1.0;1.0
0.047	0.0;1.0;0.0;1.0;1.0
0.033	0.0;1.0;0.0;1.0;1.0
0.03	0.0;1.0;0.0;1.0;1.0
0.024	0.0;1.0;0.0;1.0;1.0
0.022	0.0;1.0;0.0;1.0;1.0
0.03	0.0;1.0;0.0;1.0;1.0
0.023	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.02	0.0;1.0;0.0;1.0;1.0
0.033	0.0;1.0;0.0;1.0;1.0
0.03	0.0;1.0;0.0;1.0;1.0
0.092	0.0;1.0;0.0;1.0;1.0
0.044	0.0;1.0;0.0;1.0;1.0
0.052	0.0;1.0;0.0;1.0;1.0
