0.072	8.0;0.8;0.1;0.8;0.8
0.068	8.0;1.0;0.0;1.0;1.0
0.054	8.0;1.0;0.0;1.0;1.0
0.063	8.0;1.0;0.0;1.0;1.0
0.051	8.0;1.0;0.0;1.0;1.0
0.064	8.0;0.8;0.1;0.8;0.8
0.063	8.0;0.8;0.1;0.8;0.8
0.074	8.0;1.0;0.0;1.0;1.0
0.054	8.0;1.0;0.0;1.0;1.0
0.054	8.0;1.0;0.0;1.0;1.0
0.055	8.0;1.0;0.0;1.0;1.0
0.052	8.0;1.0;0.0;1.0;1.0
0.052	8.0;1.0;0.0;1.0;1.0
0.056	8.0;1.0;0.0;1.0;1.0
0.055	8.0;1.0;0.0;1.0;1.0
0.049	8.0;1.0;0.0;1.0;1.0
0.053	8.0;1.0;0.0;1.0;1.0
0.057	8.0;0.8;0.1;0.8;0.8
0.084	8.0;1.0;0.0;1.0;1.0
0.077	8.0;1.0;0.0;1.0;1.0
0.064	8.0;1.0;0.0;1.0;1.0
0.059	8.0;1.0;0.0;1.0;1.0
0.051	8.0;1.0;0.0;1.0;1.0
0.05	8.0;1.0;0.0;1.0;1.0
0.051	8.0;1.0;0.0;1.0;1.0
0.06	8.0;1.0;0.0;1.0;1.0
0.062	8.0;1.0;0.0;1.0;1.0
0.08	8.0;1.0;0.0;1.0;1.0
0.074	8.0;1.0;0.0;1.0;1.0
0.062	8.0;1.0;0.0;1.0;1.0
