0.02	0.0;1.0;0.0;1.0;1.0
0.017	0.0;1.0;0.0;1.0;1.0
0.019	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.019	0.0;1.0;0.0;1.0;1.0
0.023	0.0;1.0;0.0;1.0;1.0
0.023	0.0;1.0;0.0;1.0;1.0
0.023	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.02	0.0;1.0;0.0;1.0;1.0
0.02	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.023	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.019	0.0;1.0;0.0;1.0;1.0
0.023	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.022	0.0;1.0;0.0;1.0;1.0
0.024	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.019	0.0;1.0;0.0;1.0;1.0
0.024	0.0;1.0;0.0;1.0;1.0
0.019	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
