0.023	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.021	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.021	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.024	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.022	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.021	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.026	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.047	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.029	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.024	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.024	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.022	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.021	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.027	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.02	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.057	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.04	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.042	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.023	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.04	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.028	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.024	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.024	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.034	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.084	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.022	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.021	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.019	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.022	0.0;0.8333333;0.083333336;0.8333333;0.8333333
0.019	0.0;0.8333333;0.083333336;0.8333333;0.8333333
