0.022	0.0;1.0;0.0;1.0;1.0
0.018	0.0;1.0;0.0;1.0;1.0
0.018	0.0;1.0;0.0;1.0;1.0
0.022	0.0;1.0;0.0;1.0;1.0
0.027	0.0;1.0;0.0;1.0;1.0
0.018	0.0;1.0;0.0;1.0;1.0
0.018	0.0;1.0;0.0;1.0;1.0
0.02	0.0;1.0;0.0;1.0;1.0
0.019	0.0;1.0;0.0;1.0;1.0
0.02	0.0;1.0;0.0;1.0;1.0
0.02	0.0;1.0;0.0;1.0;1.0
0.019	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.024	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.032	0.0;1.0;0.0;1.0;1.0
0.071	0.0;1.0;0.0;1.0;1.0
0.052	0.0;1.0;0.0;1.0;1.0
0.045	0.0;1.0;0.0;1.0;1.0
0.018	0.0;1.0;0.0;1.0;1.0
0.02	0.0;1.0;0.0;1.0;1.0
0.024	0.0;1.0;0.0;1.0;1.0
0.022	0.0;1.0;0.0;1.0;1.0
0.019	0.0;1.0;0.0;1.0;1.0
0.019	0.0;1.0;0.0;1.0;1.0
0.018	0.0;1.0;0.0;1.0;1.0
0.021	0.0;1.0;0.0;1.0;1.0
0.04	0.0;1.0;0.0;1.0;1.0
0.019	0.0;1.0;0.0;1.0;1.0
