Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(ontable p)', '(clear p)', '(ontable t)', '(clear a)', '(on a t)', '(ontable r)', '(clear e)', '(on e r)']","['(clear t)', '(on t a)', '(on a p)', '(on p e)', '(on e r)', '(ontable r)']",-1,0.0036771297454833984,6,"[<Op (pick-up p)>, <Op (stack p e)>, <Op (unstack a t)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>]"
Goal to Real Goal Approach,"['(handempty)', '(ontable p)', '(clear p)', '(ontable t)', '(clear a)', '(on a t)', '(ontable r)', '(clear e)', '(on e r)']","['(clear t)', '(on t a)', '(on a p)', '(on p e)', '(on e r)', '(ontable r)']",2.6941299438476562e-05,0.026472806930541992,22,"[<Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (stack p t)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack p t)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>]"
Shared Landmark Approach,"['(handempty)', '(ontable p)', '(clear p)', '(ontable t)', '(clear a)', '(on a t)', '(ontable r)', '(clear e)', '(on e r)']","['(clear t)', '(on t a)', '(on a p)', '(on p e)', '(on e r)', '(ontable r)']",0.014117240905761719,0.010418891906738281,14,"[<Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (put-down p)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>]"
Combined Landmarks Approach,"['(handempty)', '(ontable p)', '(clear p)', '(ontable t)', '(clear a)', '(on a t)', '(ontable r)', '(clear e)', '(on e r)']","['(clear t)', '(on t a)', '(on a p)', '(on p e)', '(on e r)', '(ontable r)']",0.0036499500274658203,0.021772146224975586,36,"[<Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (put-down p)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up r)>, <Op (put-down r)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (stack p t)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack p t)>, <Op (stack p e)>, <Op (pick-up t)>, <Op (put-down t)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up t)>, <Op (stack t a)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>]"
Most Common Landmarks,"['(handempty)', '(ontable p)', '(clear p)', '(ontable t)', '(clear a)', '(on a t)', '(ontable r)', '(clear e)', '(on e r)']","['(clear t)', '(on t a)', '(on a p)', '(on p e)', '(on e r)', '(ontable r)']",0.02234792709350586,0.005228757858276367,20,"[<Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (put-down p)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (put-down t)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (pick-up t)>, <Op (stack t a)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>]"
Centroid Approach,"['(handempty)', '(ontable p)', '(clear p)', '(ontable t)', '(clear a)', '(on a t)', '(ontable r)', '(clear e)', '(on e r)']","['(clear t)', '(on t a)', '(on a p)', '(on p e)', '(on e r)', '(ontable r)']",0.00042819976806640625,0.01182699203491211,14,"[<Op (unstack e r)>, <Op (stack e a)>, <Op (pick-up r)>, <Op (stack r e)>, <Op (unstack r e)>, <Op (put-down r)>, <Op (unstack e a)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (unstack a t)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>]"
Closest Centroid Approach,"['(handempty)', '(ontable p)', '(clear p)', '(ontable t)', '(clear a)', '(on a t)', '(ontable r)', '(clear e)', '(on e r)']","['(clear t)', '(on t a)', '(on a p)', '(on p e)', '(on e r)', '(ontable r)']",0.00038313865661621094,0.009659051895141602,10,"[<Op (unstack a t)>, <Op (stack a p)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>]"
Farthest Centroid Approach,"['(handempty)', '(ontable p)', '(clear p)', '(ontable t)', '(clear a)', '(on a t)', '(ontable r)', '(clear e)', '(on e r)']","['(clear t)', '(on t a)', '(on a p)', '(on p e)', '(on e r)', '(ontable r)']",0.000354766845703125,0.009750127792358398,10,"[<Op (unstack a t)>, <Op (stack a p)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>]"
All but Real Centroid Approach,"['(handempty)', '(ontable p)', '(clear p)', '(ontable t)', '(clear a)', '(on a t)', '(ontable r)', '(clear e)', '(on e r)']","['(clear t)', '(on t a)', '(on a p)', '(on p e)', '(on e r)', '(ontable r)']",0.0002040863037109375,0.008499860763549805,12,"[<Op (pick-up p)>, <Op (stack p a)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (unstack p a)>, <Op (stack p e)>, <Op (unstack a t)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>]"
R-Centroid Approach,"['(handempty)', '(ontable p)', '(clear p)', '(ontable t)', '(clear a)', '(on a t)', '(ontable r)', '(clear e)', '(on e r)']","['(clear t)', '(on t a)', '(on a p)', '(on p e)', '(on e r)', '(ontable r)']",0.0001709461212158203,0.012061357498168945,14,"[<Op (unstack e r)>, <Op (stack e a)>, <Op (pick-up r)>, <Op (stack r e)>, <Op (unstack r e)>, <Op (put-down r)>, <Op (unstack e a)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (unstack a t)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>]"
