Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",-1,0.0050809383392333984,6,"[<Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack p r)>, <Op (stack p e)>]"
Goal to Real Goal Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",2.6226043701171875e-05,0.019412994384765625,18,"[<Op (unstack p r)>, <Op (stack p e)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (pick-up t)>, <Op (stack t a)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
Shared Landmark Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.012538909912109375,0.009161949157714844,10,"[<Op (unstack t a)>, <Op (put-down t)>, <Op (unstack p r)>, <Op (stack p e)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
Combined Landmarks Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.002780914306640625,0.003996133804321289,14,"[<Op (unstack t a)>, <Op (put-down t)>, <Op (unstack p r)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
Most Common Landmarks,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.01870107650756836,0.003734111785888672,10,"[<Op (unstack p r)>, <Op (stack p e)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.0003330707550048828,0.009407997131347656,10,"[<Op (unstack p r)>, <Op (stack p e)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
Closest Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.00025534629821777344,0.006245851516723633,6,"[<Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack p r)>, <Op (stack p e)>]"
Farthest Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.00019478797912597656,0.010344266891479492,10,"[<Op (unstack p r)>, <Op (stack p e)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
All but Real Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.00024175643920898438,0.009650945663452148,10,"[<Op (unstack p r)>, <Op (stack p e)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
R-Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.0003218650817871094,0.0055501461029052734,14,"[<Op (pick-up e)>, <Op (stack e p)>, <Op (unstack t a)>, <Op (stack t e)>, <Op (pick-up a)>, <Op (stack a t)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (unstack e p)>, <Op (stack e a)>, <Op (unstack p r)>, <Op (stack p e)>]"
R-Closest Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.0002040863037109375,0.008780956268310547,8,"[<Op (unstack p r)>, <Op (put-down p)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
R-Farthest Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.0001437664031982422,0.00875711441040039,8,"[<Op (unstack p r)>, <Op (put-down p)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
R-All but Real Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.00019502639770507812,0.006267070770263672,8,"[<Op (unstack t a)>, <Op (stack t e)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack p r)>, <Op (stack p e)>]"
Minimum Covering State Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.00018095970153808594,0.016881942749023438,18,"[<Op (unstack p r)>, <Op (put-down p)>, <Op (unstack t a)>, <Op (stack t p)>, <Op (pick-up a)>, <Op (stack a t)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack t p)>, <Op (put-down t)>, <Op (pick-up p)>, <Op (stack p e)>]"
Closest Minimum Covering State Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.00024509429931640625,0.009688138961791992,10,"[<Op (unstack p r)>, <Op (stack p e)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
Farthest Minimum Covering State Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.00021886825561523438,0.009521007537841797,10,"[<Op (unstack p r)>, <Op (stack p e)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (pick-up p)>, <Op (stack p e)>]"
All but Real Minimum Coverinst State Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.0002582073211669922,0.006628751754760742,6,"[<Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack p r)>, <Op (stack p e)>]"
R-Minimum Covering State Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.000186920166015625,0.01906609535217285,18,"[<Op (unstack p r)>, <Op (put-down p)>, <Op (unstack t a)>, <Op (stack t p)>, <Op (pick-up a)>, <Op (stack a t)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack t p)>, <Op (put-down t)>, <Op (pick-up p)>, <Op (stack p e)>]"
R-Closest Minimum Covering State Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.0002257823944091797,0.0115509033203125,14,"[<Op (unstack p r)>, <Op (put-down p)>, <Op (unstack t a)>, <Op (stack t p)>, <Op (pick-up a)>, <Op (stack a t)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack t p)>, <Op (put-down t)>, <Op (pick-up p)>, <Op (stack p e)>]"
R-Farthest Minimum Covering State Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.0002110004425048828,0.017116785049438477,18,"[<Op (unstack p r)>, <Op (put-down p)>, <Op (unstack t a)>, <Op (stack t p)>, <Op (pick-up a)>, <Op (stack a t)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack t p)>, <Op (put-down t)>, <Op (pick-up p)>, <Op (stack p e)>]"
R-All but Real Minimum Coverinst State Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable a)', '(clear t)', '(on t a)', '(ontable r)', '(clear p)', '(on p r)']","['(clear p)', '(on p e)', '(on e a)', '(ontable a)']",0.00015401840209960938,0.006410837173461914,6,"[<Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack p r)>, <Op (stack p e)>]"
