Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(ontable a)', '(clear a)', '(ontable p)', '(clear r)', '(on r p)', '(ontable e)', '(clear t)', '(on t e)']","['(clear p)', '(on p e)', '(on e r)', '(on r t)', '(ontable t)']",-1,0.010164022445678711,8,"[<Op (unstack t e)>, <Op (put-down t)>, <Op (unstack r p)>, <Op (stack r t)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>]"
Goal to Real Goal Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable p)', '(clear r)', '(on r p)', '(ontable e)', '(clear t)', '(on t e)']","['(clear p)', '(on p e)', '(on e r)', '(on r t)', '(ontable t)']",2.6226043701171875e-05,0.0326080322265625,26,"[<Op (unstack t e)>, <Op (put-down t)>, <Op (unstack r p)>, <Op (put-down r)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up t)>, <Op (stack t e)>, <Op (pick-up a)>, <Op (stack a t)>, <Op (pick-up p)>, <Op (stack p a)>, <Op (unstack p a)>, <Op (put-down p)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up r)>, <Op (stack r t)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>]"
Shared Landmark Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable p)', '(clear r)', '(on r p)', '(ontable e)', '(clear t)', '(on t e)']","['(clear p)', '(on p e)', '(on e r)', '(on r t)', '(ontable t)']",0.021413087844848633,0.016775846481323242,16,"[<Op (unstack r p)>, <Op (put-down r)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (pick-up p)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up r)>, <Op (stack r t)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>]"
Combined Landmarks Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable p)', '(clear r)', '(on r p)', '(ontable e)', '(clear t)', '(on t e)']","['(clear p)', '(on p e)', '(on e r)', '(on r t)', '(ontable t)']",0.006731986999511719,0.009491920471191406,30,"[<Op (unstack r p)>, <Op (put-down r)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (pick-up p)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up a)>, <Op (stack a t)>, <Op (pick-up p)>, <Op (stack p a)>, <Op (unstack p a)>, <Op (put-down p)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up t)>, <Op (put-down t)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up r)>, <Op (stack r t)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>]"
Most Common Landmarks,"['(handempty)', '(ontable a)', '(clear a)', '(ontable p)', '(clear r)', '(on r p)', '(ontable e)', '(clear t)', '(on t e)']","['(clear p)', '(on p e)', '(on e r)', '(on r t)', '(ontable t)']",0.04186820983886719,0.008332967758178711,24,"[<Op (unstack r p)>, <Op (put-down r)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (pick-up p)>, <Op (put-down p)>, <Op (pick-up r)>, <Op (put-down r)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (pick-up t)>, <Op (put-down t)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up r)>, <Op (stack r t)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>]"
Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable p)', '(clear r)', '(on r p)', '(ontable e)', '(clear t)', '(on t e)']","['(clear p)', '(on p e)', '(on e r)', '(on r t)', '(ontable t)']",0.0003991127014160156,0.01311492919921875,18,"[<Op (pick-up a)>, <Op (stack a r)>, <Op (unstack t e)>, <Op (stack t a)>, <Op (pick-up e)>, <Op (stack e t)>, <Op (unstack e t)>, <Op (put-down e)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (unstack a r)>, <Op (put-down a)>, <Op (unstack r p)>, <Op (stack r t)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>]"
Closest Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable p)', '(clear r)', '(on r p)', '(ontable e)', '(clear t)', '(on t e)']","['(clear p)', '(on p e)', '(on e r)', '(on r t)', '(ontable t)']",0.0004429817199707031,0.008875131607055664,12,"[<Op (unstack t e)>, <Op (put-down t)>, <Op (unstack r p)>, <Op (stack r t)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>]"
Farthest Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable p)', '(clear r)', '(on r p)', '(ontable e)', '(clear t)', '(on t e)']","['(clear p)', '(on p e)', '(on e r)', '(on r t)', '(ontable t)']",0.0003299713134765625,0.019843101501464844,16,"[<Op (unstack t e)>, <Op (put-down t)>, <Op (unstack r p)>, <Op (put-down r)>, <Op (pick-up p)>, <Op (stack p a)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up r)>, <Op (stack r t)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (unstack p a)>, <Op (stack p e)>]"
All but Real Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable p)', '(clear r)', '(on r p)', '(ontable e)', '(clear t)', '(on t e)']","['(clear p)', '(on p e)', '(on e r)', '(on r t)', '(ontable t)']",0.0002579689025878906,0.017841100692749023,18,"[<Op (pick-up a)>, <Op (stack a t)>, <Op (unstack r p)>, <Op (put-down r)>, <Op (pick-up p)>, <Op (stack p a)>, <Op (unstack p a)>, <Op (put-down p)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (pick-up r)>, <Op (stack r t)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>]"
R-Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable p)', '(clear r)', '(on r p)', '(ontable e)', '(clear t)', '(on t e)']","['(clear p)', '(on p e)', '(on e r)', '(on r t)', '(ontable t)']",0.00016307830810546875,0.012688875198364258,18,"[<Op (pick-up a)>, <Op (stack a r)>, <Op (unstack t e)>, <Op (stack t a)>, <Op (pick-up e)>, <Op (stack e t)>, <Op (unstack e t)>, <Op (put-down e)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (unstack a r)>, <Op (put-down a)>, <Op (unstack r p)>, <Op (stack r t)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up p)>, <Op (stack p e)>]"
