Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c34)']",['(at p0 c30)'],-1,0.004454135894775391,4,"[<Op (move p0 c34 c33)>, <Op (move p0 c33 c32)>, <Op (move p0 c32 c31)>, <Op (move p0 c31 c30)>]"
Goal to Real Goal Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c34)']",['(at p0 c30)'],1.0013580322265625e-05,0.009202003479003906,10,"[<Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c04)>, <Op (move p0 c04 c03)>, <Op (move p0 c03 c02)>, <Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c10)>, <Op (move p0 c10 c20)>, <Op (move p0 c20 c30)>]"
Shared Landmark Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c34)']",['(at p0 c30)'],1.0967254638671875e-05,0.010165929794311523,4,"[<Op (move p0 c34 c33)>, <Op (move p0 c33 c32)>, <Op (move p0 c32 c31)>, <Op (move p0 c31 c30)>]"
Combined Landmarks Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c34)']",['(at p0 c30)'],0.001856088638305664,0.010131120681762695,10,"[<Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c04)>, <Op (move p0 c04 c03)>, <Op (move p0 c03 c02)>, <Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c10)>, <Op (move p0 c10 c20)>, <Op (move p0 c20 c30)>]"
Most Common Landmarks,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c34)']",['(at p0 c30)'],0.0007708072662353516,0.008056163787841797,4,"[<Op (move p0 c34 c33)>, <Op (move p0 c33 c32)>, <Op (move p0 c32 c31)>, <Op (move p0 c31 c30)>]"
Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c34)']",['(at p0 c30)'],0.0005929470062255859,0.008256912231445312,6,"[<Op (move p0 c34 c44)>, <Op (move p0 c44 c34)>, <Op (move p0 c34 c33)>, <Op (move p0 c33 c32)>, <Op (move p0 c32 c31)>, <Op (move p0 c31 c30)>]"
Closest Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c34)']",['(at p0 c30)'],0.0003609657287597656,0.008461952209472656,4,"[<Op (move p0 c34 c33)>, <Op (move p0 c33 c32)>, <Op (move p0 c32 c31)>, <Op (move p0 c31 c30)>]"
Farthest Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c34)']",['(at p0 c30)'],0.000392913818359375,0.008316278457641602,4,"[<Op (move p0 c34 c33)>, <Op (move p0 c33 c32)>, <Op (move p0 c32 c31)>, <Op (move p0 c31 c30)>]"
All but Real Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c34)']",['(at p0 c30)'],0.0002579689025878906,0.00905609130859375,8,"[<Op (move p0 c34 c24)>, <Op (move p0 c24 c14)>, <Op (move p0 c14 c13)>, <Op (move p0 c13 c12)>, <Op (move p0 c12 c11)>, <Op (move p0 c11 c10)>, <Op (move p0 c10 c20)>, <Op (move p0 c20 c30)>]"
R-Centroid Approach,"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c40)', '(free c41)', '(free c42)', '(free c43)', '(free c44)', '(at p0 c34)']",['(at p0 c30)'],0.00023794174194335938,0.00857400894165039,6,"[<Op (move p0 c34 c44)>, <Op (move p0 c44 c34)>, <Op (move p0 c34 c33)>, <Op (move p0 c33 c32)>, <Op (move p0 c32 c31)>, <Op (move p0 c31 c30)>]"
