Domain Name,Potential Goal,Initial,isRealGoal,Time to Extract Landmarks,Extracted Landmarks
p01,(and (at p0 c00)),"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c43)', '(free c44)', '(at p0 c42)']",False,0.13783693313598633,"['(free c00)', '(at p0 c00)']"
p01,(and (at p0 c22)),"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c43)', '(free c44)', '(at p0 c42)']",True,0.13135504722595215,"['(free c22)', '(at p0 c22)']"
p01,(and (at p0 c04)),"['(free c00)', '(free c01)', '(free c02)', '(free c03)', '(free c04)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c24)', '(free c30)', '(free c31)', '(free c32)', '(free c33)', '(free c34)', '(free c40)', '(free c41)', '(free c43)', '(free c44)', '(at p0 c42)']",False,0.13692402839660645,"['(free c04)', '(at p0 c04)']"
