Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(ontable e)', '(clear e)', '(ontable p)', '(clear r)', '(on r p)', '(ontable t)', '(clear a)', '(on a t)']","['(clear t)', '(on t a)', '(on a r)', '(on r e)', '(ontable e)']",-1,0.0057222843170166016,6,"[<Op (unstack r p)>, <Op (stack r e)>, <Op (unstack a t)>, <Op (stack a r)>, <Op (pick-up t)>, <Op (stack t a)>]"
Goal to Real Goal Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable p)', '(clear r)', '(on r p)', '(ontable t)', '(clear a)', '(on a t)']","['(clear t)', '(on t a)', '(on a r)', '(on r e)', '(ontable e)']",2.384185791015625e-05,0.023971080780029297,20,"[<Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up e)>, <Op (stack e t)>, <Op (unstack r p)>, <Op (stack r e)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (unstack a r)>, <Op (put-down a)>, <Op (unstack r e)>, <Op (put-down r)>, <Op (unstack e t)>, <Op (put-down e)>, <Op (pick-up r)>, <Op (stack r e)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up t)>, <Op (stack t a)>]"
Shared Landmark Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable p)', '(clear r)', '(on r p)', '(ontable t)', '(clear a)', '(on a t)']","['(clear t)', '(on t a)', '(on a r)', '(on r e)', '(ontable e)']",0.020273923873901367,0.006845235824584961,14,"[<Op (unstack a t)>, <Op (put-down a)>, <Op (unstack r p)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (unstack a r)>, <Op (put-down a)>, <Op (pick-up r)>, <Op (stack r e)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up t)>, <Op (stack t a)>]"
Combined Landmarks Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable p)', '(clear r)', '(on r p)', '(ontable t)', '(clear a)', '(on a t)']","['(clear t)', '(on t a)', '(on a r)', '(on r e)', '(ontable e)']",0.002215862274169922,0.01870107650756836,26,"[<Op (unstack a t)>, <Op (put-down a)>, <Op (unstack r p)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (unstack a r)>, <Op (put-down a)>, <Op (pick-up r)>, <Op (stack r e)>, <Op (unstack r e)>, <Op (put-down r)>, <Op (pick-up e)>, <Op (stack e t)>, <Op (unstack e t)>, <Op (put-down e)>, <Op (pick-up t)>, <Op (stack t a)>, <Op (pick-up r)>, <Op (stack r e)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up t)>, <Op (stack t a)>]"
Most Common Landmarks,"['(handempty)', '(ontable e)', '(clear e)', '(ontable p)', '(clear r)', '(on r p)', '(ontable t)', '(clear a)', '(on a t)']","['(clear t)', '(on t a)', '(on a r)', '(on r e)', '(ontable e)']",0.027534008026123047,0.008099079132080078,18,"[<Op (unstack a t)>, <Op (put-down a)>, <Op (unstack r p)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (unstack a r)>, <Op (put-down a)>, <Op (pick-up r)>, <Op (stack r e)>, <Op (pick-up t)>, <Op (stack t a)>, <Op (unstack t a)>, <Op (put-down t)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up t)>, <Op (stack t a)>]"
Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable p)', '(clear r)', '(on r p)', '(ontable t)', '(clear a)', '(on a t)']","['(clear t)', '(on t a)', '(on a r)', '(on r e)', '(ontable e)']",0.00039196014404296875,0.0034351348876953125,6,"[<Op (unstack r p)>, <Op (stack r e)>, <Op (unstack a t)>, <Op (stack a r)>, <Op (pick-up t)>, <Op (stack t a)>]"
Closest Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable p)', '(clear r)', '(on r p)', '(ontable t)', '(clear a)', '(on a t)']","['(clear t)', '(on t a)', '(on a r)', '(on r e)', '(ontable e)']",0.00034308433532714844,0.003648996353149414,6,"[<Op (unstack r p)>, <Op (stack r e)>, <Op (unstack a t)>, <Op (stack a r)>, <Op (pick-up t)>, <Op (stack t a)>]"
Farthest Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable p)', '(clear r)', '(on r p)', '(ontable t)', '(clear a)', '(on a t)']","['(clear t)', '(on t a)', '(on a r)', '(on r e)', '(ontable e)']",0.0002758502960205078,0.0035140514373779297,6,"[<Op (unstack r p)>, <Op (stack r e)>, <Op (unstack a t)>, <Op (stack a r)>, <Op (pick-up t)>, <Op (stack t a)>]"
All but Real Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable p)', '(clear r)', '(on r p)', '(ontable t)', '(clear a)', '(on a t)']","['(clear t)', '(on t a)', '(on a r)', '(on r e)', '(ontable e)']",0.00020194053649902344,0.0034508705139160156,6,"[<Op (unstack r p)>, <Op (stack r e)>, <Op (unstack a t)>, <Op (stack a r)>, <Op (pick-up t)>, <Op (stack t a)>]"
R-Centroid Approach,"['(handempty)', '(ontable e)', '(clear e)', '(ontable p)', '(clear r)', '(on r p)', '(ontable t)', '(clear a)', '(on a t)']","['(clear t)', '(on t a)', '(on a r)', '(on r e)', '(ontable e)']",0.00020313262939453125,0.010805845260620117,12,"[<Op (pick-up e)>, <Op (stack e r)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (unstack r p)>, <Op (stack r e)>, <Op (pick-up a)>, <Op (stack a r)>, <Op (pick-up t)>, <Op (stack t a)>]"
