Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
R-Closest Centroid Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.00039696693420410156,0.012864112854003906,15,"[<Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c10)>, <Op (move p0 c10 c20)>, <Op (move p0 c20 c30)>, <Op (move p0 c30 c40)>, <Op (move p0 c40 c50)>, <Op (move p0 c50 c40)>, <Op (move p0 c40 c30)>, <Op (move p0 c30 c20)>, <Op (move p0 c20 c10)>, <Op (move p0 c10 c11)>, <Op (move p0 c11 c12)>, <Op (move p0 c12 c13)>, <Op (move p0 c13 c23)>]"
R-Farthest Centroid Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.00024008750915527344,0.013456106185913086,15,"[<Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c10)>, <Op (move p0 c10 c20)>, <Op (move p0 c20 c30)>, <Op (move p0 c30 c40)>, <Op (move p0 c40 c50)>, <Op (move p0 c50 c40)>, <Op (move p0 c40 c30)>, <Op (move p0 c30 c20)>, <Op (move p0 c20 c10)>, <Op (move p0 c10 c11)>, <Op (move p0 c11 c12)>, <Op (move p0 c12 c13)>, <Op (move p0 c13 c23)>]"
R-All but Real Centroid Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.0003650188446044922,0.011244058609008789,3,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
Minimum Covering State Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.00031280517578125,0.01178598403930664,7,"[<Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c10)>, <Op (move p0 c10 c11)>, <Op (move p0 c11 c12)>, <Op (move p0 c12 c13)>, <Op (move p0 c13 c23)>]"
Closest Minimum Covering State Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.0003821849822998047,0.011095762252807617,3,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
Farthest Minimum Covering State Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.0003819465637207031,0.011934995651245117,9,"[<Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c10)>, <Op (move p0 c10 c20)>, <Op (move p0 c20 c10)>, <Op (move p0 c10 c11)>, <Op (move p0 c11 c12)>, <Op (move p0 c12 c13)>, <Op (move p0 c13 c23)>]"
All but Real Minimum Coverinst State Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.00031685829162597656,0.012006044387817383,7,"[<Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c10)>, <Op (move p0 c10 c11)>, <Op (move p0 c11 c12)>, <Op (move p0 c12 c13)>, <Op (move p0 c13 c23)>]"
R-Minimum Covering State Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.00034308433532714844,0.012178182601928711,7,"[<Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
R-Closest Minimum Covering State Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.0002808570861816406,0.011761188507080078,7,"[<Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
R-Farthest Minimum Covering State Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.00029277801513671875,0.011837005615234375,7,"[<Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
R-All but Real Minimum Coverinst State Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.00021982192993164062,0.012044191360473633,7,"[<Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c10)>, <Op (move p0 c10 c11)>, <Op (move p0 c11 c12)>, <Op (move p0 c12 c13)>, <Op (move p0 c13 c23)>]"
